# Schweingruber - Fort Providence - PCGL - ITRDB CANA047
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4415
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4415.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana047l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana047l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana047l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana047l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Schweingruber - Fort Providence - PCGL - ITRDB CANA047
#--------------------
# Investigators
#   Investigators: Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Fort Providence
#   Location: Northwest Territories
#   Northernmost_Latitude: 61.17
#   Southernmost_Latitude: 61.17
#   Easternmost_Longitude: -117.37
#   Westernmost_Longitude: -117.37
#   Elevation_m: 152
#--------------------
# Data_Collection
#   Collection_Name: CANA047
#   First_Year: 1829
#   Last_Year: 1988
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 805071_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805072_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805081_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805082_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805091_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805092_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805111_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805112_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805112; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805121_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805122_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805131_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805132_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805132; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805141_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805141; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805142_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805151_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805151; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805152_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805152; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805161_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805161; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805162_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805162; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805171_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805172_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805172; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805181_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805181; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805182_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805182; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805191_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805191; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805192_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805192; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805201_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805201; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 805202_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: 805202; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	805071_raw	805072_raw	805081_raw	805082_raw	805091_raw	805092_raw	805111_raw	805112_raw	805121_raw	805122_raw	805131_raw	805132_raw	805141_raw	805142_raw	805151_raw	805152_raw	805161_raw	805162_raw	805171_raw	805172_raw	805181_raw	805182_raw	805191_raw	805192_raw	805201_raw	805202_raw
1870	0.08	0.04	NA	NA	NA	0.12	0.08	0.12	0.14	0.15	NA	NA	NA	NA	0.06	0.1	NA	0.09	0.15	0	0.11	0.2	0.13	0.09	0.15	0.15
1871	0.09	0.05	NA	NA	NA	0.13	0.11	0.18	0.12	0.1	NA	0.28	NA	NA	0.06	0.09	NA	0.13	0.29	0.24	0.12	0.18	0.14	0.09	0.16	0.15
1872	0.08	0.05	NA	NA	NA	0.15	0.1	0.14	0.13	0.11	NA	0.21	NA	NA	0.07	0.1	NA	0.21	0.26	0.19	0.1	0.13	0.16	0.14	0.21	0.19
1873	0.11	0.05	NA	NA	NA	0.26	0.14	0.27	0.13	0.12	NA	0.25	NA	NA	0.07	0.09	NA	0.4	0.24	0.22	0.17	0.18	0.23	0.16	0.26	0.29
1874	0.14	0.07	NA	NA	NA	0.17	0.13	0.19	0.12	0.11	NA	0.27	NA	NA	0.06	0.11	0.27	0.19	0.12	0.12	0.11	0.16	0.13	0.11	0.23	0.21
1875	0.12	0.08	NA	NA	NA	0.2	0.11	0.23	0.13	0.11	NA	0.25	NA	NA	0.09	0.11	0.15	0.19	0.15	0.14	0.11	0.15	0.17	0.14	0.14	0.12
1876	0.12	0.09	NA	NA	NA	0.15	0.14	0.24	0.1	0.11	NA	0.31	NA	NA	0.06	0.09	0.19	0.14	0.12	0.17	0.1	0.14	0.17	0.09	0.1	0.1
1877	0.11	0.08	NA	NA	NA	0.15	0.15	0.19	0.09	0.11	NA	0.32	NA	NA	0.05	0.1	0.19	0.14	0.17	0.12	0.11	0.25	0.13	0.07	0.12	0.12
1878	0.1	0.07	NA	NA	NA	0.32	0.2	0.18	0.1	0.11	NA	0.24	NA	NA	0.06	0.12	0.14	0.16	0.12	0.07	0.09	0.14	0.1	0.07	0.1	0.09
1879	0.08	0.08	NA	NA	NA	0.19	0.14	0.11	0.08	0.09	NA	0.23	NA	NA	0.07	0.09	0.13	0.14	0.1	0.09	0.09	0.09	0.11	0.07	0.13	0.12
1880	0.12	0.1	NA	NA	0.23	0.22	0.17	0.17	0.1	0.11	0.25	0.22	NA	NA	0.1	0.09	0.12	0.21	0.1	0.1	0.15	0.09	0.14	0.13	0.14	0.07
1881	0.12	0.11	0.12	NA	0.18	0.15	0.11	0.07	0.09	0.11	0.17	0.15	NA	NA	0.12	0.12	0.14	0.16	0.11	0.09	0.13	0.12	0.11	0.05	0.15	0.17
1882	0.09	0.14	0.08	NA	0.2	0.18	0.1	0.14	0.1	0.13	0.17	0.16	NA	NA	0.12	0.15	0.15	0.18	0.18	0.15	0.12	0.19	0.15	0.1	0.12	0.22
1883	0.15	0.15	0.11	NA	0.19	0.11	0.11	0.15	0.1	0.12	0.19	0.22	NA	NA	0.12	0.12	0.14	0.2	0.17	0.13	0.1	0.15	0.16	0.1	0.13	0.15
1884	0.15	0.21	0.16	0.22	0.31	0.18	0.16	0.15	0.1	0.11	0.14	0.16	NA	0.2	0.16	0.14	0.18	0.23	0.19	0.11	0.14	0.14	0.12	0.12	0.18	0.27
1885	0.08	0.09	0.16	0.19	0.2	0.16	0.07	0.08	0.09	0.11	0.14	0.15	NA	0.16	0.14	0.11	0.15	0.19	0.12	0.09	0.13	0.1	0.1	0.05	0.11	0.11
1886	0.08	0.09	0.12	0.14	0.22	0.2	0.08	0.06	0.11	0.12	0.08	0.16	0.24	0.13	0.12	0.16	0.12	0.11	0.14	0.08	0.1	0.08	0.1	0.12	0.13	0.12
1887	0.07	0.09	0.25	0.29	0.26	0.21	0.11	0.13	0.11	0.12	0.17	0.17	0.39	0.26	0.15	0.18	0.16	0.17	0.14	0.12	0.1	0.12	0.12	0.09	0.1	0.11
1888	0.11	0.1	0.22	0.33	0.2	0.23	0.14	0.09	0.1	0.11	0.23	0.31	0.3	0.27	0.12	0.15	0.22	0.19	0.13	0.09	0.1	0.11	0.11	0.11	0.09	0.07
1889	0.11	0.15	0.28	0.29	0.28	0.34	0.15	0.14	0.14	0.17	0.23	0.21	0.46	0.23	0.18	0.18	0.24	0.28	0.19	0.12	0.12	0.12	0.11	0.16	0.08	0.12
1890	0.1	0.1	0.17	0.21	0.13	0.13	0.13	0.1	0.14	0.11	0.16	0.15	0.26	0.16	0.28	0.2	0.24	0.22	0.15	0.13	0.16	0.17	0.13	0.15	0.14	0.19
1891	0.08	0.09	0.13	0.24	0.12	0.1	0.13	0.09	0.13	0.08	0.07	0.09	0.18	0.1	0.17	0.16	0.19	0.14	0.14	0.09	0.13	0.19	0.1	0.19	0.12	0.19
1892	0.09	0.09	0.15	0.19	0.14	0.07	0.14	0.08	0.15	0.07	0.13	0.14	0.19	0.14	0.17	0.17	0.19	0.11	0.12	0.11	0.09	0.1	0.1	0.15	0.13	0.1
1893	0.1	0.09	0.14	0.26	0.13	0.11	0.12	0.1	0.1	0.06	0.1	0.08	0.26	0.12	0.17	0.11	0.15	0.15	0.09	0.09	0.1	0.11	0.09	0.16	0.1	0.11
1894	0.08	0.08	0.11	0.27	0.12	0.16	0.11	0.09	0.15	0.09	0.12	0.14	0.22	0.11	0.13	0.13	0.15	0.15	0.11	0.09	0.1	0.14	0.13	0.16	0.11	0.12
1895	0.09	0.09	0.18	0.22	0.12	0.11	0.14	0.15	0.13	0.09	0.17	0.17	0.24	0.11	0.16	0.19	0.2	0.13	0.14	0.1	0.16	0.15	0.16	0.2	0.12	0.13
1896	0.07	0.08	0.16	0.27	0.17	0.12	0.13	0.11	0.15	0.11	0.11	0.14	0.21	0.15	0.17	0.18	0.2	0.16	0.11	0.09	0.07	0.14	0.11	0.13	0.1	0.1
1897	0.07	0.09	0.13	0.26	0.13	0.12	0.14	0.12	0.14	0.11	0.14	0.14	0.19	0.12	0.16	0.16	0.18	0.16	0.12	0.09	0.08	0.12	0.15	0.1	0.1	0.08
1898	0.09	0.08	0.14	0.24	0.14	0.11	0.14	0.11	0.11	0.08	0.18	0.22	0.19	0.21	0.15	0.16	0.2	0.13	0.11	0.1	0.11	0.12	0.11	0.23	0.1	0.08
1899	0.07	0.08	0.14	0.23	0.13	0.13	0.11	0.1	0.14	0.08	0.15	0.14	0.2	0.12	0.15	0.13	0.14	0.1	0.08	0.07	0.07	0.09	0.14	0.12	0.08	0.09
1900	0.09	0.09	0.18	0.22	0.15	0.15	0.08	0.13	0.11	0.09	0.14	0.14	0.22	0.19	0.21	0.15	0.16	0.14	0.09	0.08	0.12	0.1	0.12	0.17	0.08	0.08
1901	0.1	0.08	0.14	0.19	0.17	0.15	0.12	0.08	0.12	0.1	0.11	0.1	0.19	0.21	0.16	0.13	0.09	0.11	0.09	0.08	0.11	0.07	0.11	0.13	0.13	0.08
1902	0.08	0.08	0.12	0.15	0.12	0.14	0.08	0.08	0.1	0.09	0.11	0.12	0.13	0.2	0.16	0.11	0.17	0.08	0.08	0.1	0.09	0.1	0.08	0.1	0.1	0.07
1903	0.07	0.05	0.16	0.18	0.16	0.13	0.07	0.08	0.1	0.1	0.12	0.1	0.13	0.17	0.16	0.14	0.11	0.1	0.07	0.08	0.06	0.17	0.07	0.09	0.06	0.14
1904	0.08	0.05	0.15	0.17	0.19	0.15	0.06	0.11	0.08	0.11	0.11	0.11	0.15	0.24	0.16	0.13	0.14	0.08	0.11	0.09	0.08	0.18	0.09	0.12	0.11	0.15
1905	0.11	0.08	0.15	0.19	0.22	0.14	0.1	0.13	0.1	0.11	0.12	0.11	0.16	0.2	0.19	0.16	0.15	0.13	0.11	0.13	0.1	0.15	0.12	0.16	0.11	0.1
1906	0.12	0.09	0.15	0.19	0.2	0.16	0.09	0.1	0.09	0.12	0.13	0.12	0.14	0.24	0.14	0.11	0.1	0.13	0.09	0.11	0.2	0.15	0.13	0.17	0.12	0.09
1907	0.12	0.06	0.13	0.16	0.17	0.13	0.07	0.09	0.1	0.12	0.14	0.08	0.15	0.19	0.18	0.14	0.12	0.11	0.06	0.07	0.07	0.06	0.08	0.15	0.1	0.08
1908	0.11	0.07	0.17	0.19	0.21	0.19	0.07	0.11	0.18	0.12	0.15	0.13	0.11	0.18	0.13	0.12	0.11	0.1	0.09	0.07	0.1	0.09	0.08	0.09	0.08	0.1
1909	0.14	0.06	0.17	0.18	0.21	0.17	0.08	0.12	0.08	0.09	0.18	0.15	0.16	0.28	0.12	0.13	0.1	0.11	0.09	0.08	0.12	0.08	0.08	0.09	0.1	0.11
1910	0.19	0.12	0.17	0.17	0.22	0.19	0.11	0.13	0.1	0.13	0.21	0.23	0.14	0.24	0.17	0.18	0.17	0.17	0.12	0.09	0.16	0.14	0.17	0.14	0.09	0.13
1911	0.21	0.12	0.18	0.18	0.22	0.18	0.1	0.11	0.1	0.16	0.2	0.2	0.13	0.18	0.16	0.16	0.18	0.16	0.13	0.07	0.13	0.12	0.11	0.14	0.09	0.12
1912	0.09	0.06	0.15	0.14	0.13	0.17	0.05	0.07	0.09	0.1	0.14	0.14	0.12	0.15	0.12	0.1	0.11	0.12	0.06	0.07	0.07	0.08	0.08	0.08	0.08	0.09
1913	0.1	0.07	0.12	0.11	0.16	0.12	0.07	0.06	0.08	0.09	0.14	0.11	0.13	0.13	0.1	0.1	0.09	0.09	0.08	0.07	0.05	0.08	0.06	0.07	0.08	0.07
1914	0.07	0.13	0.13	0.09	0.14	0.12	0.08	0.08	0.09	0.16	0.12	0.12	0.17	0.13	0.1	0.1	0.08	0.07	0.08	0.07	0.07	0.11	0.07	0.08	0.06	0.05
1915	0.05	0.16	0.14	0.21	0.28	0.1	0.08	0.13	0.08	0.16	0.18	0.24	0.17	0.22	0.13	0.13	0.13	0.13	0.12	0.11	0.08	0.09	0.07	0.1	0.07	0.07
1916	0.06	0.07	0.11	0.17	0.16	0.1	0.06	0.05	0.08	0.13	0.16	0.13	0.14	0.11	0.11	0.1	0.1	0.13	0.06	0.06	0.1	0.06	0.06	0.07	0.07	0.12
1917	0.05	0.06	0.07	0.09	0.1	0.09	0.06	0.04	0.1	0.2	0.12	0.1	0.17	0.12	0.1	0.07	0.08	0.08	0.07	0.06	0.05	0.06	0.06	0.08	0.07	0.07
1918	0.06	0.06	0.12	0.12	0.17	0.09	0.07	0.05	0.1	0.15	0.13	0.12	0.09	0.11	0.14	0.11	0.08	0.07	0.07	0.06	0.07	0.07	0.07	0.1	0.07	0.07
1919	0.05	0.07	0.09	0.11	0.19	0.15	0.08	0.05	0.11	0.16	0.16	0.09	0.12	0.11	0.15	0.11	0.1	0.11	0.07	0.08	0.08	0.07	0.09	0.11	0.07	0.08
1920	0.05	0.08	0.11	0.11	0.13	0.18	0.06	0.07	0.1	0.14	0.16	0.12	0.14	0.16	0.17	0.09	0.11	0.11	0.06	0.06	0.07	0.08	0.06	0.11	0.06	0.08
1921	0.06	0.11	0.11	0.13	0.22	0.18	0.07	0.05	0.12	0.17	0.16	0.13	0.14	0.2	0.15	0.14	0.11	0.08	0.09	0.07	0.11	0.11	0.1	0.18	0.08	0.09
1922	0.08	0.12	0.29	0.14	0.36	0.21	0.1	0.05	0.12	0.21	0.18	0.17	0.2	0.19	0.15	0.13	0.14	0.09	0.09	0.07	0.12	0.2	0.13	0.17	0.06	0.11
1923	0.04	0.11	0.17	0.13	0.2	0.18	0.07	0.05	0.11	0.22	0.11	0.15	0.17	0.16	0.17	0.12	0.12	0.09	0.09	0.08	0.08	0.13	0.09	0.12	0.05	0.09
1924	0.04	0.07	0.27	0.17	0.28	0.13	0.07	0.04	0.1	0.13	0.09	0.1	0.13	0.18	0.15	0.11	0.15	0.1	0.07	0.06	0.08	0.12	0.08	0.09	0.05	0.08
1925	0.05	0.09	0.23	0.13	0.23	0.2	0.09	0.07	0.13	0.14	0.12	0.12	0.16	0.11	0.16	0.1	0.1	0.1	0.1	0.06	0.08	0.11	0.12	0.13	0.07	0.09
1926	0.04	0.08	0.15	0.12	0.19	0.15	0.1	0.05	0.09	0.12	0.13	0.1	0.14	0.13	0.09	0.11	0.1	0.08	0.1	0.08	0.1	0.13	0.08	0.13	0.06	0.11
1927	0.06	0.1	0.15	0.14	0.17	0.14	0.09	0.05	0.07	0.09	0.07	0.1	0.11	0.11	0.15	0.11	0.12	0.08	0.17	0.1	0.09	0.1	0.09	0.11	0.08	0.12
1928	0.07	0.09	0.22	0.18	0.19	0.15	0.1	0.07	0.18	0.13	0.11	0.08	0.14	0.18	0.16	0.13	0.11	0.09	0.29	0.12	0.08	0.08	0.1	0.12	0.07	0.09
1929	0.06	0.12	0.2	0.15	0.21	0.12	0.11	0.08	0	0.05	0.1	0.1	0.07	0.15	0.12	0.12	0.1	0.09	0.32	0.15	0.09	0.1	0.08	0.11	0.07	0.08
1930	0.06	0.08	0.13	0.14	0.19	0.14	0.08	0.07	0	0.06	0.11	0.1	0.12	0.12	0.13	0.11	0.07	0.07	0.17	0.17	0.11	0.08	0.12	0.11	0.06	0.09
1931	0.06	0.08	0.16	0.1	0.13	0.15	0.08	0.08	0.16	0.08	0.09	0.09	0.12	0.17	0.12	0.12	0.08	0.07	0.31	0.22	0.08	0.08	0.09	0.12	0.05	0.1
1932	0.05	0.08	0.15	0.14	0.17	0.15	0.07	0.07	0.12	0.09	0.08	0.09	0.15	0.18	0.15	0.1	0.1	0.08	0.25	0.23	0.08	0.1	0.11	0.15	0.07	0.09
1933	0.08	0.09	0.18	0.09	0.15	0.15	0.1	0.08	0.09	0.08	0.12	0.12	0.15	0.16	0.13	0.14	0.14	0.08	0.21	0.15	0.08	0.1	0.14	0.13	0.08	0.09
1934	0.08	0.11	0.19	0.13	0.22	0.23	0.08	0.09	0.14	0.12	0.12	0.09	0.17	0.2	0.14	0.13	0.08	0.11	0.14	0.12	0.12	0.09	0.12	0.23	0.07	0.11
1935	0.08	0.11	0.21	0.12	0.21	0.2	0.09	0.13	0.1	0.1	0.11	0.11	0.13	0.24	0.19	0.09	0.12	0.1	0.17	0.17	0.15	0.11	0.15	0.24	0.08	0.09
1936	0.08	0.1	0.19	0.12	0.13	0.17	0.06	0.08	0.12	0.12	0.09	0.1	0.14	0.18	0.14	0.13	0.12	0.09	0.1	0.06	0.09	0.06	0.1	0.13	0.06	0.06
1937	0.12	0.13	0.24	0.2	0.25	0.22	0.11	0.14	0.13	0.16	0.15	0.22	0.21	0.18	0.23	0.13	0.15	0.13	0.18	0.08	0.11	0.16	0.13	0.19	0.1	0.12
1938	0.19	0.12	0.3	0.13	0.22	0.21	0.12	0.13	0.17	0.21	0.16	0.23	0.17	0.17	0.19	0.17	0.13	0.13	0.27	0.1	0.13	0.2	0.11	0.28	0.07	0.11
1939	0.06	0.07	0.16	0.09	0.13	0.17	0.06	0.07	0.1	0.1	0.1	0.13	0.11	0.09	0.16	0.11	0.09	0.08	0.07	0.04	0.05	0.07	0.06	0.1	0.04	0.05
1940	0.09	0.11	0.19	0.12	0.19	0.17	0.09	0.12	0.12	0.14	0.14	0.14	0.16	0.14	0.16	0.13	0.15	0.1	0.18	0.08	0.08	0.12	0.11	0.14	0.06	0.06
1941	0.08	0.09	0.17	0.13	0.13	0.1	0.06	0.07	0.08	0.09	0.1	0.13	0.08	0.11	0.15	0.1	0.1	0.07	0.14	0.06	0.11	0.11	0.07	0.12	0.05	0.06
1942	0.08	0.09	0.19	0.11	0.18	0.12	0.07	0.06	0.11	0.09	0.1	0.12	0.09	0.11	0.12	0.09	0.09	0.08	0.11	0.05	0.07	0.07	0.09	0.1	0.07	0.05
1943	0.07	0.07	0.11	0.08	0.13	0.12	0.05	0.07	0.09	0.08	0.1	0.1	0.09	0.1	0.12	0.1	0.08	0.07	0.09	0.06	0.07	0.12	0.07	0.1	0.03	0.04
1944	0.06	0.08	0.13	0.09	0.17	0.1	0.05	0.05	0.08	0.1	0.08	0.1	0.08	0.11	0.1	0.09	0.06	0.08	0.15	0.06	0.07	0.12	0.07	0.07	0.06	0.04
1945	0.06	0.08	0.15	0.08	0.13	0.1	0.04	0.05	0.07	0.08	0.09	0.11	0.1	0.09	0.1	0.08	0.08	0.06	0.13	0.05	0.07	0.08	0.08	0.07	0.06	0.04
1946	0.06	0.07	0.15	0.11	0.14	0.14	0.05	0.06	0.09	0.08	0.1	0.11	0.09	0.12	0.13	0.11	0.07	0.07	0.1	0.05	0.08	0.1	0.12	0.08	0.05	0.05
1947	0.06	0.07	0.18	0.13	0.13	0.13	0.07	0.07	0.09	0.08	0.09	0.09	0.14	0.11	0.14	0.08	0.06	0.06	0.13	0.09	0.07	0.09	0.09	0.13	0.09	0.06
1948	0.06	0.07	0.14	0.11	0.14	0.13	0.06	0.05	0.08	0.08	0.07	0.13	0.09	0.1	0.17	0.07	0.06	0.06	0.12	0.06	0.07	0.1	0.1	0.11	0.05	0.04
1949	0.09	0.1	0.14	0.11	0.15	0.13	0.06	0.06	0.07	0.08	0.11	0.16	0.12	0.12	0.15	0.11	0.08	0.07	0.1	0.07	0.08	0.11	0.12	0.15	0.06	0.05
1950	0.07	0.08	0.18	0.12	0.15	0.19	0.05	0.05	0.09	0.12	0.09	0.1	0.11	0.12	0.21	0.1	0.07	0.08	0.11	0.06	0.06	0.08	0.12	0.18	0.07	0.06
1951	0.08	0.09	0.13	0.09	0.23	0.19	0.07	0.06	0.09	0.14	0.1	0.14	0.1	0.15	0.2	0.11	0.08	0.1	0.13	0.07	0.12	0.12	0.11	0.2	0.07	0.07
1952	0.05	0.06	0.19	0.08	0.2	0.18	0.07	0.07	0.11	0.14	0.1	0.13	0.15	0.18	0.15	0.09	0.07	0.06	0.05	0.06	0.09	0.1	0.11	0.14	0.06	0.07
1953	0.07	0.08	0.16	0.1	0.17	0.15	0.06	0.04	0.06	0.1	0.11	0.12	0.08	0.14	0.12	0.09	0.09	0.1	0.13	0.07	0.09	0.09	0.07	0.13	0.07	0.07
1954	0.05	0.06	0.17	0.08	0.11	0.11	0.05	0.05	0.07	0.11	0.04	0.06	0.1	0.11	0.12	0.07	0.06	0.06	0.05	0.06	0.07	0.06	0.08	0.13	0.06	0.04
1955	0.08	0.07	0.15	0.06	0.17	0.16	0.07	0.04	0.11	0.11	0.08	0.1	0.1	0.2	0.12	0.09	0.07	0.06	0.13	0.06	0.09	0.09	0.07	0.11	0.06	0.07
1956	0.09	0.07	0.11	0.08	0.14	0.11	0.1	0.05	0.12	0.11	0.08	0.1	0.14	0.22	0.11	0.1	0.06	0.06	0.11	0.08	0.09	0.1	0.09	0.12	0.05	0.05
1957	0.11	0.08	0.11	0.11	0.23	0.19	0.07	0.05	0.18	0.15	0.06	0.1	0.16	0.15	0.14	0.11	0.07	0.09	0.17	0.06	0.1	0.1	0.1	0.16	0.09	0.07
1958	0.08	0.1	0.08	0.09	0.12	0.17	0.08	0.08	0.1	0.13	0.08	0.11	0.11	0.14	0.18	0.11	0.07	0.07	0.15	0.09	0.1	0.11	0.09	0.11	0.06	0.08
1959	0.11	0.11	0.13	0.12	0.15	0.19	0.13	0.07	0.15	0.14	0.09	0.14	0.13	0.15	0.22	0.12	0.11	0.1	0.18	0.09	0.1	0.16	0.1	0.15	0.08	0.1
1960	0.1	0.09	0.11	0.07	0.11	0.11	0.09	0.1	0.18	0.17	0.07	0.08	0.13	0.18	0.16	0.13	0.08	0.1	0.16	0.07	0.09	0.12	0.08	0.15	0.08	0.08
1961	0.09	0.07	0.1	0.1	0.16	0.12	0.09	0.07	0.07	0.07	0.06	0.07	0.07	0.09	0.1	0.11	0.08	0.09	0.13	0.12	0.11	0.18	0.08	0.1	0.07	0.06
1962	0.12	0.11	0.1	0.12	0.12	0.11	0.1	0.08	0.12	0.1	0.06	0.06	0.1	0.09	0.22	0.11	0.08	0.06	0.09	0.09	0.08	0.12	0.11	0.14	0.05	0.05
1963	0.12	0.09	0.14	0.13	0.13	0.16	0.1	0.08	0.13	0.11	0.05	0.07	0.13	0.1	0.29	0.12	0.1	0.08	0.14	0.09	0.11	0.14	0.08	0.12	0.08	0.06
